"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"COCKTAIL ROOM","Cocktail Tables / Tablecloth","6","Cocktail table that is easy for you to set up. Black, white, or grey tablecloth","TASK ITEM","YIHH (SRC) - 2/21/26","PBG",""
"COCKTAIL ROOM","Hightop Tables","5","Whatever is easiest for you. (NO STOOLS)","TASK ITEM","YIHH (SRC) - 2/21/26","PBG",""
"MAIN ROOM","Clear Acrylic Podium","1","In Front of Stage","","YIHH (SRC) - 2/21/26","PBG",""
"MAIN ROOM","Folding Table - 4'","1","Next to Podium","","YIHH (SRC) - 2/21/26","PBG",""
"MAIN ROOM","6' Black Folding Tablecloth","1","4' Table","","YIHH (SRC) - 2/21/26","PBG",""
