"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"BAR","White Acrylic Bar Front","1","","ACRYLIC","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","White Acrylic Bar Side ","2","","ACRYLIC","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","White Acrylic Bar Top","1","","ACRYLIC","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","40""W Shelved Back Bar - Glass","2","","BARS / BACK BARS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","6' Bar Frame ","1","","BARS / BACK BARS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","Bar: Speed Rack ","1","","BARS / BACK BARS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","1M LED Uplights ","1","","LIGHTING ","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","White Acrylic Base 24""x24""x42""H","2","LEFT & RIGHT","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"BAR","LEDecor 6SW LIGHT","2","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"Buffet","Wood Folding Table - 6'x30""","1","","TABLES WOOD","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"Buffet","Wood Table, 8'x30"" ","2","","TABLES WOOD","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"Buffet","90"" x 156"" Tablecloth - White","3","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"CAKE TABLE","Clear Acrylic Base 16""x16""x30""","1","ICE Base ","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"CAKE TABLE","LEDecor 12C ","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"CAKE TABLE","Glass Table Top, 5'x30""","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"CAKE TABLE","Cellophane","1","Ice Effect Table","PURCHASE","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"Dance Floor","White Acrylic Panel - 4 x 8 x ⅛""","10","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"Dance Floor","Double Sided Carpet Tape","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","Marquee Letters ""30""","2","","PURCHASE","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","Charger Plates - Silver Reef","71","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","Crystal Tree ","10","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","SKI Props","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","LED Birch Trees","10","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","White Birch Tree Branches","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","Spandex Column Covers - 8'","6","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","Frame: Metal Columns","6","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DECOR","Poly Globe, 24""H","10","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DRAPING","Drape Main Room: White","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"DRAPING","SEE FLOOR PLAN - DRAPING SPECIAL AREA","1","White Drape - Velour is ok","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"Entrance","White Carpet Entrance","1","Carpet or Astro Turf","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"GOH Lounge","Silver Acrylic Highboy","2","CARD & GIFTS","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"GOH Lounge","20""W Back Bar Frame - White","2","GIFTS","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"GOH Lounge","Ring Chair on Stand","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"GOH Lounge","Tufted Leather Barcelona Chair - White","2","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"GOH Lounge","Silver Mirror Cube Coffee Table ","2","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"GOH Lounge","White Carpet  - 8'X8'","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LIGHTING","ADJ Ikon Profile ","4","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LIGHTING","Snowflake & Tree Gobo","4","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LIGHTING","Snow Machine","1","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","Smooth Leather Banquette - White","2","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","Smooth Leather Ottoman - White","8","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","Crystal Tufted Bench (LARGE) - White","2","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","White Scuba Poly Cover, 21""R x 18""H","6","","FABRIC","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","Glass Table Top, 21""R","4","","GLASS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","Glass Table Top, 36""R","2","","GLASS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","LEDecor 6SW LIGHT","6","","LIGHTING ","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"LOUNGE","Cylinder Poly Base, 18""H","6","","POLY","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"NOTES for Flip","WHITE TUFTED BAR - DO NOT TAKE APART","1","Need (1) 6' White Tufted for 12/6","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"SEATING","Clear Chiavari Chairs","45","","SEATING","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"SEATING","Chair Cushion w/ White Cover","45","","SEATING","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"SEATING","Ghost Stool w/ Back","26","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"STAGE: 4' x 20' x 16""H","Stage Top: ½"" Clear Acrylic","5","","FLOORING & CARPETING","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"STAGE: 4' x 20' x 16""H","Stage Top: ¼"" White Acrylic","5","","FLOORING & CARPETING","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"STAGE: 4' x 20' x 16""H","Frame - Biljax Stage: 4'x4'","5","","FRAMES","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"STAGE: 4' x 20' x 16""H","1M LED Uplights ","10","","LIGHTING ","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"STAGE: 4' x 20' x 16""H","Biljax Stage: 16"" Leg","12","","STAGING","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"STAGE: 4' x 20' x 16""H","Stage Side: 16"" x 48"" White Acrylic","7","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","White Scuba Poly Cover, 21""R x 30""H  ","5","","FABRIC","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","White Scuba Poly Cover, 21""R x 42""H  ","4","","FABRIC","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","Glass Table Top, 36""R","3","","GLASS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","Glass Table Top, 4' SQ","2","","GLASS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","Glass Table Top, 60"" R","4","","GLASS","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","LEDecor 6SW LIGHT","9","","LIGHTING ","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","Cylinder Poly base, 42""H","4","","POLY","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TABLES","Cylinder Poly Base, 30""H","5","","","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TASKS","Clean Bathroom","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TASKS","Clean Entrance / Hallway ","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TASKS","Clean Floors","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TASKS","Clean Guest Room","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TASKS","Clean Hallway Mirrors","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"TASKS","Clean Kitchen","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"VIDEO","White Wood TV Frame: 80"" ","2","","Miguel Fabricated - Adhere to TV with Carpet Tape. ","Tiffani's 30th (CHA) - 12/5/25","PBG",""
"VIDEO","Set Up TV's - SEE FLOOR PLAN","1","","TASK ITEM","Tiffani's 30th (CHA) - 12/5/25","PBG",""
