"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"DRAPING","Telescoping Upright: 7'-12'","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING","Crossbar: 7'-12'","4","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING","Base Plates: 18"" x 18""","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING","Base Insert / Pin","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING","Binder Clips","","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING","Drape: Black Scuba 12'","36","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING","Black Spandex Pole Cover","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","LEDecor 6SW LIGHT","20","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Black Lighting Cabinets","2","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Laser Lights *NEW*","1","EBAY","PURCHASE","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Moving Head: SPOTS","8","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Haze Machine","2","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Haze Fluid","1","Amazon Delivery on Tuesday","PURCHASE","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","LEDecor 6SW LIGHT","22","Poly Tables","LIGHTING ","Muscot Catering (PBG) - 2/26/26","PBG",""
"LOUNGE","Chesterfield Sofa - Black","3","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LOUNGE","Tufted Leather Bench - Black ","3","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LOUNGE","Tufted Leather Ottoman - Black","6","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Little Giant Ladder","2","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Extension Cables - Assorted ","","Need for Video & Lighting! ","","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Power Strips ","","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Assorted Zip Ties","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Tools: Knife, Wire Cutters, Scissors, Garbge Bags","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","White Gaff Tape","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Black Gaff Tape","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Double Sided Carpet Tape","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Screw Driver / Drill / Staple Gun ","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Windex","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Paper Towels","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","Black Scuba Poly Cover 42""H","5","","FABRIC","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","White Scuba Cover 30"" x 30""","14","","FABRIC","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","White Scuba Poly Cover, 21""R x 18""H","8","","FABRIC","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","Glass Table Top, 21""R","13","","GLASS","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","Glass Table Top, 60"" SQ ","14","","GLASS","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","Square Poly Base, 30""H","14","","POLY","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","LEDecor Remote For 6SW","1","","LIGHTING ","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","Cylinder Poly Base, 18""H","8","","POLY","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","Cylinder Poly base, 42""H","5","","POLY","Muscot Catering (PBG) - 2/26/26","PBG",""
"SEATING","Clear Chiavari Chairs","230","","SEATING","Muscot Catering (PBG) - 2/26/26","PBG",""
"SEATING","Chair Cushion w/ White Cover","230","","SEATING","Muscot Catering (PBG) - 2/26/26","PBG",""
"SEATING","Black Acrylic Stool","20","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"STAGING","Stage Side: 24"" x 48"" Black Acrylic","11","","ACRYLIC","Muscot Catering (PBG) - 2/26/26","PBG",""
"STAGING","Stage Top: ½"" Clear Acrylic","9","","FLOORING & CARPETING","Muscot Catering (PBG) - 2/26/26","PBG",""
"STAGING","Stage Top: ¼"" White Acrylic","9","","FLOORING & CARPETING","Muscot Catering (PBG) - 2/26/26","PBG",""
"STAGING","1M LED Uplights ","18","","LIGHTING ","Muscot Catering (PBG) - 2/26/26","PBG",""
"STAGING","Frame - Biljax Stage: 4'x4'","9","","FRAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"STAGING","Biljax Stage: 24"" Legs","20","","STAGING","Muscot Catering (PBG) - 2/26/26","PBG",""
"TRUSS","Truss Cover","9","","TRUSSING / HARDWARE","Muscot Catering (PBG) - 2/26/26","PBG",""
"TRUSS","10' Truss ","9","","TRUSSING / HARDWARE","Muscot Catering (PBG) - 2/26/26","PBG",""
"TRUSS","Truss Plate: 24""x24""","9","","TRUSSING / HARDWARE","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","Cat6e Cables - (LED WALL)","","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","HDMI Cables - Assorted","1","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","LED Video Wall Controller Unit","1","PLEASE DO NOT FORGET CABLES IN BACK OF PROCESSOR! NEED ALL CABLES","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","LED Video Wall Panels, (Double) 128 x 256","20","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","LED Video Wall Panels, (Single) 128 x 128","20","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","powerCON to powerCON: Power In","","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","powerCON to powerCON: Power out","","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"VIDEO WALL","Cat6e Cable - 100'","1","","","Muscot Catering (PBG) - 2/26/26","PBG",""
