"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"DRAPING: 36' Back Drape Line","Telescoping Upright: 7'-12'","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING: 36' Back Drape Line","Crossbar: 7'-12'","4","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING: 36' Back Drape Line","Base Plates: 18"" x 18""","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING: 36' Back Drape Line","Base Insert / Pin","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING: 36' Back Drape Line","Binder Clips","","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING: 36' Back Drape Line","Drape: Black Velour 12'","36","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"DRAPING: 36' Back Drape Line","Black Spandex Pole Cover","5","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","LEDecor 6SW LIGHT","20","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","8' Black Lighting Cabinets with/ Pole","2","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Laser Lights *NEW*","1","EBAY","PURCHASE","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Moving Head: SPOTS","6","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Haze Machine","2","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","Haze Fluid","1","Amazon Delivery on Tuesday","PURCHASE","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","LEDecor 6SW LIGHT","22","Poly Tables","LIGHTING ","Muscot Catering (PBG) - 2/26/26","PBG",""
"LIGHTING","LED Moving Head w/ Ring","4","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Little Giant Ladder","2","","VIDEO","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Extension Cables - Assorted ","","Need for Video & Lighting! ","","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Power Strips ","","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Assorted Zip Ties","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Tools: Knife, Wire Cutters, Scissors, Garbge Bags","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","White Gaff Tape","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Black Gaff Tape","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Double Sided Carpet Tape","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Screw Driver / Drill / Staple Gun ","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Windex","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"MSC","Paper Towels","1","","TOOLS","Muscot Catering (PBG) - 2/26/26","PBG",""
"Poly Tables ","White Scuba Cover 30"" x 30""","14","","FABRIC","Muscot Catering (PBG) - 2/26/26","PBG",""
